y_true_class, y_pred_class, y_pred_cont
5.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
1.000000000000000000e+00,0.000000000000000000e+00,4.965000000000000000e+02
4.000000000000000000e+00,3.000000000000000000e+00,6.420882352941176805e+02
6.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
5.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
6.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
8.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
2.000000000000000000e+00,1.000000000000000000e+00,5.434285714285714448e+02
6.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
8.000000000000000000e+00,8.000000000000000000e+00,8.752352941176470722e+02
4.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
6.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
1.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
6.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
5.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
0.000000000000000000e+00,0.000000000000000000e+00,4.965000000000000000e+02
7.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
7.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
3.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
5.000000000000000000e+00,3.000000000000000000e+00,6.420882352941176805e+02
2.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
5.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
3.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
1.000000000000000000e+00,0.000000000000000000e+00,4.965000000000000000e+02
8.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
2.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
8.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
3.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
4.000000000000000000e+00,3.000000000000000000e+00,6.420882352941176805e+02
2.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
7.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
5.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
5.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
6.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
5.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
2.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
6.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
3.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
2.000000000000000000e+00,0.000000000000000000e+00,4.965000000000000000e+02
6.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
3.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
4.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
3.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
6.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
7.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
6.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
5.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
5.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
1.000000000000000000e+00,0.000000000000000000e+00,4.965000000000000000e+02
9.000000000000000000e+00,9.000000000000000000e+00,9.276000000000000227e+02
1.000000000000000000e+00,0.000000000000000000e+00,4.965000000000000000e+02
4.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
3.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
6.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
5.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
3.000000000000000000e+00,3.000000000000000000e+00,6.420882352941176805e+02
2.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
4.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
5.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
5.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
5.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
3.000000000000000000e+00,3.000000000000000000e+00,6.420882352941176805e+02
6.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
1.000000000000000000e+00,1.000000000000000000e+00,5.434285714285714448e+02
3.000000000000000000e+00,3.000000000000000000e+00,6.420882352941176805e+02
3.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
6.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
5.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
5.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
4.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
8.000000000000000000e+00,8.000000000000000000e+00,8.752352941176470722e+02
1.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
5.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
5.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
5.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
8.000000000000000000e+00,8.000000000000000000e+00,8.752352941176470722e+02
6.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
2.000000000000000000e+00,1.000000000000000000e+00,5.434285714285714448e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
5.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
8.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
6.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
3.000000000000000000e+00,3.000000000000000000e+00,6.420882352941176805e+02
4.000000000000000000e+00,3.000000000000000000e+00,6.420882352941176805e+02
3.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
8.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
1.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
6.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
6.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
2.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
8.000000000000000000e+00,8.000000000000000000e+00,8.752352941176470722e+02
9.000000000000000000e+00,8.000000000000000000e+00,8.752352941176470722e+02
7.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
7.000000000000000000e+00,8.000000000000000000e+00,8.752352941176470722e+02
7.000000000000000000e+00,8.000000000000000000e+00,8.752352941176470722e+02
5.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
5.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
7.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
6.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
5.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
3.000000000000000000e+00,3.000000000000000000e+00,6.420882352941176805e+02
6.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
2.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
3.000000000000000000e+00,3.000000000000000000e+00,6.420882352941176805e+02
7.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
2.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
7.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
3.000000000000000000e+00,3.000000000000000000e+00,6.420882352941176805e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
5.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
6.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
6.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
3.000000000000000000e+00,3.000000000000000000e+00,6.420882352941176805e+02
2.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
7.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
4.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
3.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
3.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
2.000000000000000000e+00,0.000000000000000000e+00,4.965000000000000000e+02
2.000000000000000000e+00,0.000000000000000000e+00,4.965000000000000000e+02
5.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
4.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
6.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
5.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
8.000000000000000000e+00,8.000000000000000000e+00,8.752352941176470722e+02
7.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
6.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
3.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
7.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
2.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
4.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
2.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
3.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
1.000000000000000000e+00,1.000000000000000000e+00,5.434285714285714448e+02
8.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
6.000000000000000000e+00,8.000000000000000000e+00,8.752352941176470722e+02
6.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
8.000000000000000000e+00,8.000000000000000000e+00,8.752352941176470722e+02
3.000000000000000000e+00,3.000000000000000000e+00,6.420882352941176805e+02
5.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
4.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
3.000000000000000000e+00,3.000000000000000000e+00,6.420882352941176805e+02
7.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
7.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
2.000000000000000000e+00,0.000000000000000000e+00,4.965000000000000000e+02
2.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
3.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
6.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
5.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
6.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
5.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
6.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
4.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
7.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
6.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
4.000000000000000000e+00,3.000000000000000000e+00,6.420882352941176805e+02
5.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
2.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
9.000000000000000000e+00,8.000000000000000000e+00,8.752352941176470722e+02
6.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
5.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
5.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
2.000000000000000000e+00,1.000000000000000000e+00,5.434285714285714448e+02
3.000000000000000000e+00,3.000000000000000000e+00,6.420882352941176805e+02
7.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
7.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
5.000000000000000000e+00,6.000000000000000000e+00,7.797171717171717091e+02
2.000000000000000000e+00,1.000000000000000000e+00,5.434285714285714448e+02
5.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
4.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
8.000000000000000000e+00,7.000000000000000000e+00,8.245892857142856656e+02
5.000000000000000000e+00,5.000000000000000000e+00,7.346511627906976400e+02
3.000000000000000000e+00,3.000000000000000000e+00,6.420882352941176805e+02
0.000000000000000000e+00,0.000000000000000000e+00,4.965000000000000000e+02
9.000000000000000000e+00,8.000000000000000000e+00,8.752352941176470722e+02
2.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
2.000000000000000000e+00,2.000000000000000000e+00,5.895526315789473983e+02
5.000000000000000000e+00,4.000000000000000000e+00,6.881184210526315610e+02
