y_true_class, y_pred_class, y_pred_cont
1.000000000000000000e+01,1.100000000000000000e+01,2.664152631578947185e+05
7.000000000000000000e+00,8.000000000000000000e+00,2.047457049180327740e+05
6.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
1.700000000000000000e+01,1.500000000000000000e+01,3.439285999999999767e+05
4.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
6.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
8.000000000000000000e+00,8.000000000000000000e+00,2.047457049180327740e+05
3.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
1.100000000000000000e+01,1.000000000000000000e+01,2.437985000000000000e+05
3.000000000000000000e+00,2.000000000000000000e+00,8.523807843137254531e+04
3.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
3.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
5.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
1.000000000000000000e+01,1.300000000000000000e+01,3.115000000000000000e+05
4.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
1.100000000000000000e+01,1.500000000000000000e+01,3.439285999999999767e+05
6.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
7.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
5.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
7.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
5.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
7.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
7.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
4.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
5.000000000000000000e+00,2.000000000000000000e+00,8.523807843137254531e+04
4.000000000000000000e+00,0.000000000000000000e+00,4.468333333333333576e+04
6.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
6.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
1.200000000000000000e+01,1.500000000000000000e+01,3.439285999999999767e+05
1.200000000000000000e+01,1.400000000000000000e+01,3.252219047619047342e+05
1.000000000000000000e+01,8.000000000000000000e+00,2.047457049180327740e+05
6.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
2.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
2.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
2.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
5.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
1.600000000000000000e+01,1.800000000000000000e+01,4.068317999999999884e+05
8.000000000000000000e+00,1.000000000000000000e+01,2.437985000000000000e+05
3.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
2.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
3.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
8.000000000000000000e+00,1.100000000000000000e+01,2.664152631578947185e+05
5.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
7.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
5.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
9.000000000000000000e+00,1.100000000000000000e+01,2.664152631578947185e+05
5.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
9.000000000000000000e+00,1.000000000000000000e+01,2.437985000000000000e+05
6.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
5.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
3.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
7.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
5.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
4.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
2.000000000000000000e+00,0.000000000000000000e+00,4.468333333333333576e+04
3.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
6.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
5.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
2.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
6.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
7.000000000000000000e+00,1.000000000000000000e+01,2.437985000000000000e+05
9.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
1.200000000000000000e+01,9.000000000000000000e+00,2.267012608695652161e+05
6.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
6.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
2.200000000000000000e+01,1.800000000000000000e+01,4.068317999999999884e+05
5.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
1.700000000000000000e+01,1.800000000000000000e+01,4.068317999999999884e+05
9.000000000000000000e+00,8.000000000000000000e+00,2.047457049180327740e+05
1.000000000000000000e+01,9.000000000000000000e+00,2.267012608695652161e+05
8.000000000000000000e+00,1.100000000000000000e+01,2.664152631578947185e+05
1.100000000000000000e+01,1.100000000000000000e+01,2.664152631578947185e+05
1.200000000000000000e+01,1.400000000000000000e+01,3.252219047619047342e+05
3.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
2.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
8.000000000000000000e+00,8.000000000000000000e+00,2.047457049180327740e+05
7.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
1.400000000000000000e+01,1.500000000000000000e+01,3.439285999999999767e+05
1.300000000000000000e+01,1.400000000000000000e+01,3.252219047619047342e+05
7.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
5.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
4.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
6.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
1.000000000000000000e+01,1.800000000000000000e+01,4.068317999999999884e+05
8.000000000000000000e+00,8.000000000000000000e+00,2.047457049180327740e+05
3.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
6.000000000000000000e+00,9.000000000000000000e+00,2.267012608695652161e+05
5.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
1.100000000000000000e+01,5.000000000000000000e+00,1.443881065573770611e+05
5.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
1.200000000000000000e+01,1.800000000000000000e+01,4.068317999999999884e+05
3.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
6.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
8.000000000000000000e+00,1.000000000000000000e+01,2.437985000000000000e+05
4.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
3.000000000000000000e+00,2.000000000000000000e+00,8.523807843137254531e+04
4.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
7.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
6.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
4.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
1.100000000000000000e+01,1.000000000000000000e+01,2.437985000000000000e+05
6.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
5.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
4.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
5.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
1.100000000000000000e+01,1.000000000000000000e+01,2.437985000000000000e+05
7.000000000000000000e+00,8.000000000000000000e+00,2.047457049180327740e+05
3.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
8.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
1.100000000000000000e+01,1.500000000000000000e+01,3.439285999999999767e+05
1.200000000000000000e+01,1.900000000000000000e+01,4.265000000000000000e+05
1.100000000000000000e+01,1.100000000000000000e+01,2.664152631578947185e+05
3.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
4.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
5.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
5.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
1.100000000000000000e+01,9.000000000000000000e+00,2.267012608695652161e+05
8.000000000000000000e+00,8.000000000000000000e+00,2.047457049180327740e+05
4.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
4.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
3.000000000000000000e+00,2.000000000000000000e+00,8.523807843137254531e+04
5.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
7.000000000000000000e+00,8.000000000000000000e+00,2.047457049180327740e+05
7.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
8.000000000000000000e+00,8.000000000000000000e+00,2.047457049180327740e+05
4.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
7.000000000000000000e+00,9.000000000000000000e+00,2.267012608695652161e+05
6.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
9.000000000000000000e+00,9.000000000000000000e+00,2.267012608695652161e+05
2.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
7.000000000000000000e+00,9.000000000000000000e+00,2.267012608695652161e+05
1.300000000000000000e+01,1.500000000000000000e+01,3.439285999999999767e+05
4.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
6.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
1.000000000000000000e+00,0.000000000000000000e+00,4.468333333333333576e+04
7.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
4.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
1.100000000000000000e+01,1.400000000000000000e+01,3.252219047619047342e+05
1.100000000000000000e+01,1.100000000000000000e+01,2.664152631578947185e+05
9.000000000000000000e+00,9.000000000000000000e+00,2.267012608695652161e+05
4.000000000000000000e+00,2.000000000000000000e+00,8.523807843137254531e+04
8.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
8.000000000000000000e+00,1.000000000000000000e+01,2.437985000000000000e+05
4.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
6.000000000000000000e+00,8.000000000000000000e+00,2.047457049180327740e+05
4.000000000000000000e+00,0.000000000000000000e+00,4.468333333333333576e+04
3.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
5.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
7.000000000000000000e+00,8.000000000000000000e+00,2.047457049180327740e+05
4.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
1.100000000000000000e+01,7.000000000000000000e+00,1.840545714285714203e+05
0.000000000000000000e+00,1.000000000000000000e+00,6.499900000000000000e+04
9.000000000000000000e+00,1.400000000000000000e+01,3.252219047619047342e+05
5.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
1.200000000000000000e+01,1.500000000000000000e+01,3.439285999999999767e+05
7.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
4.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
4.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
6.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
5.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
4.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
8.000000000000000000e+00,8.000000000000000000e+00,2.047457049180327740e+05
1.000000000000000000e+01,1.700000000000000000e+01,3.885432000000000116e+05
5.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
1.100000000000000000e+01,1.000000000000000000e+01,2.437985000000000000e+05
1.100000000000000000e+01,8.000000000000000000e+00,2.047457049180327740e+05
3.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
4.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
4.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
9.000000000000000000e+00,1.000000000000000000e+01,2.437985000000000000e+05
4.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
8.000000000000000000e+00,8.000000000000000000e+00,2.047457049180327740e+05
9.000000000000000000e+00,8.000000000000000000e+00,2.047457049180327740e+05
4.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
5.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
1.000000000000000000e+01,9.000000000000000000e+00,2.267012608695652161e+05
2.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
4.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
1.300000000000000000e+01,1.400000000000000000e+01,3.252219047619047342e+05
4.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
6.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
3.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
6.000000000000000000e+00,1.000000000000000000e+01,2.437985000000000000e+05
7.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
1.300000000000000000e+01,1.500000000000000000e+01,3.439285999999999767e+05
5.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
4.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
1.100000000000000000e+01,1.400000000000000000e+01,3.252219047619047342e+05
6.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
8.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
7.000000000000000000e+00,9.000000000000000000e+00,2.267012608695652161e+05
1.200000000000000000e+01,1.400000000000000000e+01,3.252219047619047342e+05
7.000000000000000000e+00,8.000000000000000000e+00,2.047457049180327740e+05
6.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
5.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
5.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
1.000000000000000000e+01,8.000000000000000000e+00,2.047457049180327740e+05
7.000000000000000000e+00,9.000000000000000000e+00,2.267012608695652161e+05
4.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
9.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
6.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
1.000000000000000000e+01,1.000000000000000000e+01,2.437985000000000000e+05
5.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
4.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
7.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
6.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
1.000000000000000000e+01,8.000000000000000000e+00,2.047457049180327740e+05
5.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
9.000000000000000000e+00,9.000000000000000000e+00,2.267012608695652161e+05
5.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
6.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
4.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
3.000000000000000000e+00,0.000000000000000000e+00,4.468333333333333576e+04
7.000000000000000000e+00,8.000000000000000000e+00,2.047457049180327740e+05
7.000000000000000000e+00,8.000000000000000000e+00,2.047457049180327740e+05
4.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
5.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
6.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
2.000000000000000000e+00,2.000000000000000000e+00,8.523807843137254531e+04
3.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
8.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
7.000000000000000000e+00,8.000000000000000000e+00,2.047457049180327740e+05
5.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
1.000000000000000000e+01,1.400000000000000000e+01,3.252219047619047342e+05
5.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
5.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
5.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
6.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
4.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
4.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
4.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
1.600000000000000000e+01,1.700000000000000000e+01,3.885432000000000116e+05
5.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
6.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
1.000000000000000000e+01,1.200000000000000000e+01,2.814166666666666861e+05
9.000000000000000000e+00,1.000000000000000000e+01,2.437985000000000000e+05
8.000000000000000000e+00,1.000000000000000000e+01,2.437985000000000000e+05
1.300000000000000000e+01,1.700000000000000000e+01,3.885432000000000116e+05
5.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
0.000000000000000000e+00,1.000000000000000000e+00,6.499900000000000000e+04
2.000000000000000000e+00,2.000000000000000000e+00,8.523807843137254531e+04
4.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
1.000000000000000000e+01,1.100000000000000000e+01,2.664152631578947185e+05
1.500000000000000000e+01,1.400000000000000000e+01,3.252219047619047342e+05
1.600000000000000000e+01,2.000000000000000000e+01,4.382720000000000000e+05
6.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
4.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
3.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
7.000000000000000000e+00,9.000000000000000000e+00,2.267012608695652161e+05
3.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
1.100000000000000000e+01,1.200000000000000000e+01,2.814166666666666861e+05
3.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
7.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
4.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
1.100000000000000000e+01,1.400000000000000000e+01,3.252219047619047342e+05
5.000000000000000000e+00,2.000000000000000000e+00,8.523807843137254531e+04
3.000000000000000000e+00,0.000000000000000000e+00,4.468333333333333576e+04
6.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
7.000000000000000000e+00,1.000000000000000000e+01,2.437985000000000000e+05
1.000000000000000000e+01,9.000000000000000000e+00,2.267012608695652161e+05
7.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
1.100000000000000000e+01,1.000000000000000000e+01,2.437985000000000000e+05
5.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
1.400000000000000000e+01,1.500000000000000000e+01,3.439285999999999767e+05
4.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
8.000000000000000000e+00,8.000000000000000000e+00,2.047457049180327740e+05
4.000000000000000000e+00,3.000000000000000000e+00,1.077621212121212156e+05
5.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
3.000000000000000000e+00,4.000000000000000000e+00,1.260252658227848151e+05
1.400000000000000000e+01,1.000000000000000000e+01,2.437985000000000000e+05
2.000000000000000000e+00,0.000000000000000000e+00,4.468333333333333576e+04
6.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
1.900000000000000000e+01,2.300000000000000000e+01,5.481660000000000000e+05
5.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
7.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
1.200000000000000000e+01,1.500000000000000000e+01,3.439285999999999767e+05
6.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
7.000000000000000000e+00,6.000000000000000000e+00,1.660664583333333430e+05
3.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
6.000000000000000000e+00,7.000000000000000000e+00,1.840545714285714203e+05
5.000000000000000000e+00,5.000000000000000000e+00,1.443881065573770611e+05
