y_true_class, y_pred_class, y_pred_cont
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
0.000000000000000000e+00,8.000000000000000000e+00,4.271534999999999854e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
6.000000000000000000e+00,5.000000000000000000e+00,2.820599999999999909e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,5.000000000000000000e+00,2.820599999999999909e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
4.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
2.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
1.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,5.000000000000000000e+00,2.820599999999999909e+03
9.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
2.000000000000000000e+00,8.000000000000000000e+00,4.271534999999999854e+03
9.000000000000000000e+00,8.000000000000000000e+00,4.271534999999999854e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
1.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,5.000000000000000000e+00,2.820599999999999909e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,5.000000000000000000e+00,2.820599999999999909e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
0.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
9.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
3.000000000000000000e+00,8.000000000000000000e+00,4.271534999999999854e+03
9.000000000000000000e+00,5.000000000000000000e+00,2.820599999999999909e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
4.000000000000000000e+00,8.000000000000000000e+00,4.271534999999999854e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,5.000000000000000000e+00,2.820599999999999909e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
9.000000000000000000e+00,8.000000000000000000e+00,4.271534999999999854e+03
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
9.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
4.000000000000000000e+00,8.000000000000000000e+00,4.271534999999999854e+03
9.000000000000000000e+00,5.000000000000000000e+00,2.820599999999999909e+03
5.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
9.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
9.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
6.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
2.000000000000000000e+00,8.000000000000000000e+00,4.271534999999999854e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,8.000000000000000000e+00,4.271534999999999854e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
2.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
9.000000000000000000e+00,5.000000000000000000e+00,2.820599999999999909e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
1.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
7.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
2.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,5.000000000000000000e+00,2.820599999999999909e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
8.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
2.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
9.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,5.000000000000000000e+00,2.820599999999999909e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
7.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
1.000000000000000000e+00,8.000000000000000000e+00,4.271534999999999854e+03
8.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
5.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
1.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
1.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
8.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
3.000000000000000000e+00,8.000000000000000000e+00,4.271534999999999854e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
9.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
0.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
2.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
6.000000000000000000e+00,5.000000000000000000e+00,2.820599999999999909e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
4.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
4.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
9.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
2.000000000000000000e+00,8.000000000000000000e+00,4.271534999999999854e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
1.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
1.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
4.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,8.000000000000000000e+00,4.271534999999999854e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
6.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
3.000000000000000000e+00,8.000000000000000000e+00,4.271534999999999854e+03
9.000000000000000000e+00,0.000000000000000000e+00,6.651871068823530209e+01
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
0.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
2.000000000000000000e+00,6.000000000000000000e+00,3.407134999999999764e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,5.000000000000000000e+00,2.820599999999999909e+03
1.000000000000000000e+00,8.000000000000000000e+00,4.271534999999999854e+03
9.000000000000000000e+00,9.000000000000000000e+00,5.007355032967033367e+03
9.000000000000000000e+00,2.000000000000000000e+00,1.388501764705882351e+03
